,0
1989-10-01,-1.5805379480164783
1989-11-01,-1.5791368684897569
1989-12-01,-1.576767982234228
1990-01-01,-1.5758788565747457
1990-02-01,-1.5739229121165368
1990-03-01,-1.577883776100061
1990-04-01,-1.5807250004233049
1990-05-01,-1.5934407477547798
1990-06-01,-1.6173259629336665
1990-07-01,-1.642468772179343
1990-08-01,-1.6614108476450753
1990-09-01,-1.6840785265758573
1990-10-01,-1.6868964733068244
1990-11-01,-1.6874467788835406
1990-12-01,-1.6682563513410524
1991-01-01,-1.663132028425796
1991-02-01,-1.6598381829621447
1991-03-01,-1.6568111197351247
1991-04-01,-1.661428641593036
1991-05-01,-1.6667779472453526
1991-06-01,-1.6831054130680725
1991-07-01,-1.6880813442959928
1991-08-01,-1.71220514130462
1991-09-01,-1.7316256374475956
1991-10-01,-1.7293252138276616
1991-11-01,-1.7256516390116745
1991-12-01,-1.7243989927078514
1992-01-01,-1.721974893222266
1992-02-01,-1.7213445909194334
1992-03-01,-1.7235675221164353
1992-04-01,-1.724194268059111
1992-05-01,-1.7280084218399496
1992-06-01,-1.7295924770982793
1992-07-01,-1.7399351777419065
1992-08-01,-1.7502740404432888
1992-09-01,-1.7586230151517646
1992-10-01,-1.7564681414329075
1992-11-01,-1.7499463360125576
1992-12-01,-1.7375529328501842
1993-01-01,-1.722403139091427
1993-02-01,-1.7162647578620343
1993-03-01,-1.718423605824557
1993-04-01,-1.7032868637811023
1993-05-01,-1.7114306398309653
1993-06-01,-1.71505742157232
1993-07-01,-1.7183977900186929
1993-08-01,-1.7257254192089369
1993-09-01,-1.738592737186619
1993-10-01,-1.7357446636954497
1993-11-01,-1.7266141635588517
1993-12-01,-1.7294944483456864
1994-01-01,-1.7217648655853761
1994-02-01,-1.7185427555870652
1994-03-01,-1.720728290856363
1994-04-01,-1.7195823876815994
1994-05-01,-1.7341331927025831
1994-06-01,-1.7484480164819487
1994-07-01,-1.763046374623339
1994-08-01,-1.7778825498726627
1994-09-01,-1.7872420904268878
1994-10-01,-1.7870921690521422
1994-11-01,-1.7829222211768085
1994-12-01,-1.7920386974320108
1995-01-01,-1.7946668423504382
1995-02-01,-1.7964273333675178
1995-03-01,-1.795921128623266
1995-04-01,-1.7972797444277742
1995-05-01,-1.793263355749758
1995-06-01,-1.7886177909399963
1995-07-01,-1.802360912144712
1995-08-01,-1.8048096223938412
1995-09-01,-1.8172272705875347
1995-10-01,-1.8081683348439466
1995-11-01,-1.7984753906285535
1995-12-01,-1.7947249913415848
1996-01-01,-1.785752914493703
1996-02-01,-1.7814260690693722
1996-03-01,-1.780948004843882
1996-04-01,-1.7816687834143696
1996-05-01,-1.7951322521844135
1996-06-01,-1.8115949976955015
1996-07-01,-1.8249834361102228
1996-08-01,-1.8232104522762733
1996-09-01,-1.8470338251377774
1996-10-01,-1.858480857633174
1996-11-01,-1.8726095462381829
1996-12-01,-1.8742057446051237
1997-01-01,-1.8725690239597303
1997-02-01,-1.8741142444045857
1997-03-01,-1.8796791077150161
1997-04-01,-1.8821327384148512
1997-05-01,-1.8933202666153053
1997-06-01,-1.9030061252042212
1997-07-01,-1.9119605784459544
1997-08-01,-1.92992787528056
1997-09-01,-1.9524961070421212
1997-10-01,-1.9530941532949144
1997-11-01,-1.9298692370999229
1997-12-01,-1.9548253110264913
1998-01-01,-1.9431473985482364
1998-02-01,-1.9414078241476111
1998-03-01,-1.9461452105291093
1998-04-01,-1.9466777464703577
1998-05-01,-1.9475074304595112
1998-06-01,-1.9647613919687976
1998-07-01,-1.9643580033634482
1998-08-01,-1.9635504472805894
1998-09-01,-1.975272071352411
1998-10-01,-1.9678861076816625
1998-11-01,-1.960625252019844
1998-12-01,-1.9608412844483294
1999-01-01,-1.9604594969464277
1999-02-01,-1.9547993134310278
1999-03-01,-1.9542486059089514
1999-04-01,-1.958240233778404
1999-05-01,-1.964979302047912
1999-06-01,-1.985262473955257
1999-07-01,-2.0030518766972847
1999-08-01,-2.003030997071083
1999-09-01,-2.020667411111836
1999-10-01,-2.035877576352614
1999-11-01,-2.0373975406851303
1999-12-01,-2.0364560403731597
2000-01-01,-2.0231657160690024
2000-02-01,-2.025243058004539
2000-03-01,-2.03090127353663
2000-04-01,-2.034073204651639
2000-05-01,-2.0536027697568295
2000-06-01,-2.0612407273350537
2000-07-01,-2.0776493789557424
2000-08-01,-2.0992107907866244
2000-09-01,-2.110934624337811
2000-10-01,-2.120833058728472
2000-11-01,-2.108257190215752
2000-12-01,-2.1202201247557952
2001-01-01,-2.1197314374554317
2001-02-01,-2.121111062123762
2001-03-01,-2.12853665974045
2001-04-01,-2.1317654062587463
2001-05-01,-2.149441120344424
2001-06-01,-2.15560628671183
2001-07-01,-2.172791005200941
2001-08-01,-2.1879525011708147
2001-09-01,-2.193559885156599
2001-10-01,-2.19638029959841
2001-11-01,-2.1928540182536564
2001-12-01,-2.1994947845769
2002-01-01,-2.202649755018229
2002-02-01,-2.2060623838883173
2002-03-01,-2.2110651689116123
2002-04-01,-2.2137501620103395
2002-05-01,-2.228438784443152
2002-06-01,-2.2479521531600284
2002-07-01,-2.2480446667164435
2002-08-01,-2.2546030504232077
2002-09-01,-2.306229699313938
2002-10-01,-2.310249073574413
2002-11-01,-2.344405394832464
2002-12-01,-2.3243157562754635
2003-01-01,-2.3086708001559186
2003-02-01,-2.309237308422338
2003-03-01,-2.3188311970886732
2003-04-01,-2.326793846665072
2003-05-01,-2.3431538094211057
2003-06-01,-2.360168016911508
2003-07-01,-2.3760536073249776
2003-08-01,-2.3894418170769978
2003-09-01,-2.3977863923207217
2003-10-01,-2.3990910363577123
2003-11-01,-2.3980796443931762
2003-12-01,-2.402073794887946
2004-01-01,-2.405112602315882
2004-02-01,-2.407207198702857
2004-03-01,-2.413900274524459
2004-04-01,-2.4189674621091393
2004-05-01,-2.432357093609844
2004-06-01,-2.4412021694745207
2004-07-01,-2.4384972410182693
2004-08-01,-2.4402527596029993
2004-09-01,-2.4526615781160492
2004-10-01,-2.462410352289615
2004-11-01,-2.453590127751363
2004-12-01,-2.458031926139592
2005-01-01,-2.433354049643244
2005-02-01,-2.4288713025525817
2005-03-01,-2.409005749177013
2005-04-01,-2.4118554965234478
2005-05-01,-2.424826219386793
2005-06-01,-2.4336586776775366
2005-07-01,-2.3902237150336982
2005-08-01,-2.3865226539753914
2005-09-01,-2.423369450468113
2005-10-01,-2.434143913236983
2005-11-01,-2.417915582184285
2005-12-01,-2.416048139980793
2006-01-01,-2.396849926481695
2006-02-01,-2.386720233640461
2006-03-01,-2.389301184081864
2006-04-01,-2.3917954123479443
2006-05-01,-2.4060324173507985
2006-06-01,-2.4141260597341327
2006-07-01,-2.4253914583525686
2006-08-01,-2.436298906696583
2006-09-01,-2.4575081232621745
2006-10-01,-2.456777661445769
2006-11-01,-2.455429762492768
2006-12-01,-2.460767290100517
2007-01-01,-2.4643398848453852
2007-02-01,-2.4661684725880115
2007-03-01,-2.4741238212053505
2007-04-01,-2.4730981567718127
2007-05-01,-2.4876363472116445
2007-06-01,-2.501807454452813
2007-07-01,-2.4857746574703254
2007-08-01,-2.4888974755912767
2007-09-01,-2.532601079589845
2007-10-01,-2.545812430947097
2007-11-01,-2.531333014404113
2007-12-01,-2.544609230450366
2008-01-01,-2.5514453816141605
2008-02-01,-2.551872147687798
2008-03-01,-2.556266151802618
2008-04-01,-2.561278733844686
2008-05-01,-2.5680661445507535
2008-06-01,-2.589641852632984
2008-07-01,-2.6079995656108124
2008-08-01,-2.62525194907841
2008-09-01,-2.6406500239766464
2008-10-01,-2.640805995638695
2008-11-01,-2.6390531529679424
2008-12-01,-2.6409304210876643
2009-01-01,-2.6490073947823713
2009-02-01,-2.64711980867181
2009-03-01,-2.6508847569743312
2009-04-01,-2.6554207604252817
2009-05-01,-2.671780878511122
2009-06-01,-2.6880795395508605
2009-07-01,-2.6991633964627497
2009-08-01,-2.7060583454074116
2009-09-01,-2.717874748603895
2009-10-01,-2.7173970801525447
2009-11-01,-2.715136998563526
2009-12-01,-2.7150452679937525
2010-01-01,-2.720314908583685
2010-02-01,-2.7151954912576235
2010-03-01,-2.7207414869149433
2010-04-01,-2.721353321379517
2010-05-01,-2.723990600481203
2010-06-01,-2.7223652556226074
2010-07-01,-2.727892766900177
2010-08-01,-2.7399848379883704
2010-09-01,-2.744837313484957
2010-10-01,-2.759471593237186
2010-11-01,-2.747253424419457
2010-12-01,-2.7514583684460114
2011-01-01,-2.7497877769290255
2011-02-01,-2.742454885816898
2011-03-01,-2.743147215251077
2011-04-01,-2.743571331063323
2011-05-01,-2.7466953723095693
2011-06-01,-2.7305049035819975
2011-07-01,-2.729151005199446
2011-08-01,-2.739540908434937
2011-09-01,-2.773048108366975
2011-10-01,-2.787907084548455
2011-11-01,-2.764056244209366
2011-12-01,-2.7853749680259807
2012-01-01,-2.7900873103623587
2012-02-01,-2.7840542819408816
2012-03-01,-2.7853847756109795
2012-04-01,-2.789923792066019
2012-05-01,-2.7971834971548564
2012-06-01,-2.8139037791066195
2012-07-01,-2.829952192282176
2012-08-01,-2.8378537454462576
2012-09-01,-2.8496032687601516
2012-10-01,-2.8494139401326946
2012-11-01,-2.848278080844441
2012-12-01,-2.8476457943021924
2013-01-01,-2.8512774822643463
2013-02-01,-2.8471378543870367
2013-03-01,-2.8557897658230904
2013-04-01,-2.85842923468261
2013-05-01,-2.8722823163564346
2013-06-01,-2.8766882361018786
2013-07-01,-2.8940846647209995
2013-08-01,-2.911980125178511
2013-09-01,-2.9244686149405488
2013-10-01,-2.9246078206508765
2013-11-01,-2.9197177238320315
2013-12-01,-2.922817971537066
2014-01-01,-2.925903391567601
2014-02-01,-2.9209722594418883
2014-03-01,-2.9290433994493776
2014-04-01,-2.9324369350519874
2014-05-01,-2.9459973946034212
2014-06-01,-2.9513283662365173
2014-07-01,-2.9215791314533863
2014-08-01,-2.9453689866497785
2014-09-01,-2.9743910411861147
2014-10-01,-2.978805085948243
2014-11-01,-2.981689852196346
2014-12-01,-2.97067569374054
2015-01-01,-3.005314836613201
2015-02-01,-3.0003856669500513
2015-03-01,-3.008058359420928
2015-04-01,-3.005287165220713
2015-05-01,-3.022079502702781
2015-06-01,-3.028724180350608
2015-07-01,-3.04212105726197
2015-08-01,-3.05798322755599
2015-09-01,-3.0687434941145537
2015-10-01,-3.0711716171691363
2015-11-01,-3.065472589499683
2015-12-01,-3.065837053561316
2016-01-01,-3.0702140405641063
2016-02-01,-3.0660519066375467
2016-03-01,-3.069967184566352
2016-04-01,-3.0362261732952014
2016-05-01,-3.041956318536085
2016-06-01,-3.012332081423548
2016-07-01,-3.0107807776318993
2016-08-01,-3.008840538794878
2016-09-01,-3.038953295030544
2016-10-01,-3.0515367152030874
2016-11-01,-3.0322801088354314
